name,age,street,city,state,zip,lng,lat
Heather Martinez,54,447 Jeremy Corner Suite 370,Lynchhaven,Oklahoma,42813,-86.123018,-18.4092465
Vanessa Johnson,79,9918 Mcclain Court Suite 041,West Yvonnehaven,New Jersey,57209,-164.562324,29.9691615
Chad Figueroa,60,61446 Jordan Gardens Suite 887,Heatherside,Kansas,75136,-70.531059,-89.1950935
Ronnie Long,56,7586 Rebecca Station Apt. 710,New Dominique,Mississippi,74869,135.018420,-20.333393
Eric Anthony,28,34529 Costa Springs Suite 011,North Melissahaven,Washington,81082,-125.429561,8.128194
Daniel Fuller,45,8519 Linda Turnpike,East Ianfort,Utah,93772,-75.529124,65.039270
Brandon Wood,18,9186 Samuel Mountain Apt. 579,Taraview,Missouri,37876,55.157323,-74.444147
Brian Norton,75,1138 Douglas Fall Suite 734,South Michael,Maine,62582,148.338377,-32.3412935
Shane Koch,77,3112 Rojas Union,Boydburgh,Connecticut,07444,-173.580483,-82.566216
Pamela Rogers,31,13306 Sean Square,Lake Abigail,Florida,44087,-106.804014,-24.8681035
Krystal Wood,64,82467 Kenneth Dale,East Jeremy,Oregon,29818,-156.440449,-31.220756
Jared Flores,53,273 Crystal Wall,East Pamelatown,Nebraska,20302,-2.338307,-1.875691
Lisa Grant,64,1681 Erin Mountain,Mariashire,New Jersey,05166,75.733598,71.948465
Miguel Washington III,68,994 Tina Cape,Loriland,South Dakota,61057,121.730240,73.5855245
Cassandra Santos,29,389 Walton Pike,Christinashire,West Virginia,52472,-125.750139,-35.1607895
Tiffany Jenkins,49,47068 Justin Forest Apt. 355,New Stacyton,California,85175,-80.217014,70.8830035
Ryan Kelley,55,8618 Albert Parks,Tinaville,Oregon,44297,-9.931607,-83.3539765
Lindsey Swanson,61,6555 Figueroa Pines,North Jessicaburgh,Kentucky,06060,84.670026,31.321937
George Barajas,73,0892 Adams Road Apt. 242,South Ricardoburgh,Michigan,26011,56.535978,-86.1458945
Daisy Johnson,21,94539 Adam Cliff Apt. 894,Wheelermouth,Maryland,76144,85.417068,18.3787245
Deanna Frank,78,96037 Christian Radial Suite 177,North Margaretberg,Washington,80572,-164.992556,25.6495145
Sara Gonzalez,26,4159 Thompson Landing Apt. 246,Port Kevinshire,Wisconsin,85813,-174.577785,-30.1002425
Sara Palmer MD,53,0362 Andrea Mission Apt. 485,Wagnerbury,Pennsylvania,47870,-21.829435,74.5443385
Allison Gomez,36,3306 Rebecca Bypass,Justinton,Florida,40810,67.772917,75.227815
Faith Knight,71,02735 Cook Garden,Andreaton,Maine,39735,-53.477067,-72.3988685
Bradley Clark,23,353 Smith Harbors Apt. 201,New Jenniferborough,Mississippi,06822,-169.706407,-8.7226045
Dana Snow,29,390 Thornton Rapids Apt. 772,Jefferyton,Georgia,52575,-130.047437,50.2580345
David Wilkins,48,3656 Hicks Valley,Port Nicholasmouth,Colorado,59689,157.384765,63.6686485
Diana Peters,80,456 Amanda Lodge Apt. 569,Schneiderton,New Hampshire,19534,179.796571,41.973529
John Dawson,60,00082 Wright Prairie,Collinsstad,Oregon,51068,52.813404,-24.152648
Robin Morris,69,659 Snyder Inlet,East Nathanielville,California,58980,84.496043,-70.577441
Richard Diaz,64,8978 Elizabeth Cape,Lake Patrickberg,Indiana,11776,125.404483,-45.0005735
Darlene Taylor,42,80713 Miller Village Apt. 697,South Adrienne,Alabama,74111,-161.760086,63.4840125
Adam Austin,79,57466 Sergio Corners,Williamston,Maine,58739,-1.763747,66.527454
Chad Wagner,75,5709 Schmidt Motorway,Andretown,Georgia,21544,93.584293,-17.440021
Andrew Grant,40,9554 Crystal Prairie Suite 132,Matthewshire,Oklahoma,96159,42.594109,-39.8005565
Jennifer Moore,55,19763 Walter Ville Apt. 945,Edwardfurt,Mississippi,28744,115.152687,-50.852726
Isabel Moore,26,3932 Rivera Point Apt. 775,Lake Beverly,Nevada,29749,99.133431,-9.0715385
Jose Hill,56,01451 Brown Islands Suite 000,South Daniellehaven,Oklahoma,33762,165.548188,-54.8037355
Joseph Owens,40,0252 Becker Lock Apt. 559,Russellfurt,Nevada,22049,-83.035932,46.628277
Dalton Rodriguez,53,59688 Baker Inlet,Sandraview,West Virginia,18346,84.602695,-73.3124775
Eileen Cook,23,37383 Black River Apt. 985,North Franklin,Louisiana,21990,1.142147,37.0585215
Roger Reeves,71,2855 Smith Loop,Port Jessicaton,North Carolina,74218,-4.353560,-62.8578155
Jerry Sullivan,61,266 Olson Mall Suite 367,Lake Jenniferburgh,Washington,52197,-96.032517,-11.8351415
Jennifer Shepard,77,44132 Young Mission,Michaelafurt,Georgia,34293,-23.050662,-41.1584535
Latoya Gould,68,48762 Davis Manor,Lake Heidimouth,Mississippi,41177,22.660543,61.0948525
Jeffery Yoder,60,757 Allen Gateway Suite 636,West Sarahborough,Idaho,50755,10.029482,7.287017
Brett Young,54,87837 Julia Glens Apt. 004,Port Peter,Washington,95343,130.315621,-73.4104595
Theresa Ballard,27,963 Scott Vista,Sanchezchester,Maryland,97994,107.018294,89.8746605
Daniel Sparks,31,13001 Morton Crescent Apt. 026,Amandastad,Oregon,92733,141.460022,-16.9636845
Carlos Pitts,60,1816 Gonzalez Street,Port Jeffreyside,Illinois,29119,111.228307,-88.650316
Christina Long,55,4846 Jones Creek,North Tracystad,Connecticut,34882,-89.631911,-59.417624
Sarah Ayala,66,489 Gonzalez Port Apt. 056,Ashleystad,Alaska,52471,-95.755406,65.4926755
Michelle Melendez,54,90413 Christine Ports,Mitchellside,Connecticut,50830,-98.982220,-55.129879
Sergio Martinez,72,10293 Barnes Forks Apt. 443,South Teresa,Nevada,01618,120.645147,-54.2169395
Dr. Kyle Hill MD,44,269 Morgan River,Thomasside,Montana,01882,-4.616638,-3.4490755
Wendy Ryan,40,55002 Garcia Way Apt. 608,Rebeccaland,Iowa,50268,-171.839403,24.1943455
Edward French,79,1656 Tamara Run,New Amanda,Texas,91895,-111.161159,-49.153596
Nathan Williams,32,2805 Fuller Street,Port Ashleyshire,Montana,71996,-168.296072,86.445734
Deanna Reed,37,04372 Ortega Forks Apt. 406,East Christopher,Maine,99077,-174.536108,-13.3825055
Jessica Bryant,49,56091 Bailey Rapids,Mccoymouth,Washington,44564,120.612400,24.263016
Deanna Daniel,75,9630 Solis Streets,East Jeffreyhaven,Pennsylvania,87564,54.094288,64.141456
Sherri Davis MD,79,1881 Angela Well,Port Melissashire,South Carolina,48734,-42.114557,-5.342403
Adam Brewer,32,1751 Benjamin Creek Apt. 824,Zacharyport,Idaho,93628,-37.973965,66.000828
Amy Hughes,55,2821 Bryant Turnpike Suite 450,Hillton,Florida,68143,144.019381,-29.093532
Michelle Welch,22,102 Taylor Course Apt. 304,Catherineborough,Arkansas,45476,-20.375250,85.196460
Sara White,50,569 Alexis Causeway,West Jasonside,Utah,59786,-144.265845,60.138942
Douglas Davis,35,740 Rodgers Station Suite 541,Jessicaburgh,Kansas,34270,118.537499,-40.697019
Carol Sharp,37,034 Vazquez Turnpike Suite 334,Susanchester,Rhode Island,77961,17.962710,44.7920685
Amanda Barber,20,613 Johnathan Highway Suite 525,North Tommy,Oregon,43908,138.778402,53.0144975
John Villarreal,73,42877 Fields Views,Tinafort,Arizona,43146,135.914779,44.669223
Rebecca Kelly,73,0828 Rivera Ville Suite 956,East Joshuafort,Massachusetts,60218,130.118521,-65.393506
Carrie Mitchell,32,7459 Ball Stream,Sallyside,New Mexico,43664,51.103501,23.903763
Erica Ferguson,40,892 Victoria Mews Apt. 064,Sarahburgh,North Carolina,83649,76.378268,-5.7820225
Ronald Burns,19,82424 Olson Crossroad Suite 322,North Aaronshire,Illinois,34260,151.954133,-81.194041
Jeffrey Dean,76,8297 Christopher Garden,South Johnstad,Tennessee,74501,-147.417310,-40.0136545
Diana Wilkerson,21,9772 Joshua Village Apt. 725,New Joseph,Louisiana,72472,-4.027015,-2.430352
Michael Adams,37,68159 Stephens Crossing Suite 515,Kariton,North Dakota,30304,-89.228636,52.8712595
Michelle Rivera,62,401 Lauren Burgs Suite 441,New Raymond,Montana,78481,-27.987065,-11.8487785
Dorothy Wilson,36,422 Samantha Fort Apt. 177,Debraville,Oregon,00888,140.054955,30.582421
Corey Lewis,77,602 Lauren Loaf,Ballardtown,New York,20190,-6.654715,-41.9184355
Carrie Mccullough,36,06528 Rogers Estates,North Jared,California,26699,-156.910039,36.6449305
Sandra Cooper,56,5521 Henry Trace Suite 493,Port Katherine,Nebraska,19604,-149.416611,74.9890605
Robert Kelly,34,39091 Jerry Estates Apt. 761,Leestad,Vermont,93871,-9.092722,-79.7415975
Jay Patton,78,20939 Erin Junction Apt. 913,Candacemouth,Maine,87896,30.297073,-70.272117
Robert Arnold,30,930 Jonathan Wall,Robinsonberg,Ohio,60122,142.901160,-51.9531905
Johnny Porter,34,482 Debbie Shoals,Manningfort,Nevada,20563,1.226665,10.6523015
Janice Lyons,51,61245 Green Coves,South Lindaland,Florida,27977,-139.509170,49.521061
Julie Peterson,27,21127 Bruce Crescent Suite 636,Jillstad,North Dakota,51432,-115.565874,-75.0958035
Lisa Ward,41,4561 Michael Loaf Apt. 683,Manningland,Arkansas,28481,-62.155929,-51.3078095
Angela Rodriguez,80,99161 Richmond Hill Apt. 736,Port Melissaland,North Carolina,86812,-42.948429,-6.670672
James Spears,34,70389 Jamie Center,Scottton,Montana,26163,-176.577832,68.3446625
John Leblanc,49,3429 Guzman Circles,Lake Richardport,Pennsylvania,29413,7.025764,-38.707897
Mariah Wilson,24,353 Cruz Spring Apt. 398,New Jenniferchester,California,83808,-56.328794,-22.1145175
Darryl Bauer,57,805 Kevin Point,Clarkmouth,Idaho,99582,106.647501,-11.6154685
Sarah Cook,25,28175 Kathleen Knoll Apt. 081,Lake Roger,Wisconsin,49641,69.973325,66.364015
Marcus Rios,36,618 Toni Skyway Suite 327,Townsendmouth,Texas,49956,11.519854,32.1267955
Mr. Scott Lane,68,8634 Carter Overpass,Marshallshire,Maryland,48764,-165.719591,64.764571
Mary Harvey,41,861 Atkinson Corner,Stephanieton,Ohio,86518,-46.953493,-85.3612985
Gabriel Dunn,59,499 John Row Suite 360,Juliemouth,Alabama,13090,-56.973658,-18.065278
Lauren Patel,65,0014 Angela Camp,Melanieland,Illinois,30771,-6.094667,-1.5227825
George Russell,33,7333 Gonzalez Avenue Suite 314,Port Jasmine,Tennessee,62577,49.025046,25.861429
Craig Conner,34,42996 Melinda Unions Suite 829,Maryville,Delaware,57545,-29.265784,67.567768
Melissa Richards,18,9205 Perry Dam Apt. 857,West Catherineburgh,Montana,97050,20.681932,47.8864505
Lauren Booth,20,250 Smith Square,Kimberlybury,Nevada,71152,139.051127,41.4148525
Marc Ortega,23,78279 Bernard Camp,Marthastad,Texas,81504,126.974366,-51.650096
Charles Payne,68,426 Shirley Lane Apt. 017,East Marisa,Arizona,40290,74.148664,7.498832
Christopher Vega,36,4620 Coleman Mills,Carlosville,Delaware,35176,-162.419247,-46.144013
Tracy Jones,48,1032 Martinez Plains Suite 371,Smithborough,Oregon,94708,114.789124,65.515822
Gregory Miller,69,0940 Scott Circle Suite 825,Port Roy,Idaho,67990,-113.531502,17.7409165
Madison Rodriguez,35,39504 John Port Suite 166,North Sarah,New Hampshire,76421,-105.484603,-61.374392
Christina Ware,54,76362 Sheila Field Suite 960,Masonland,Mississippi,78914,27.813692,66.846825
Johnny Dorsey,68,794 Noah Trail Apt. 554,South Sean,Oregon,38135,-29.299193,-82.125167
Susan Baldwin,19,31192 Cheryl Crossroad Suite 629,Joshuatown,North Dakota,44261,104.949027,-4.5508595
Gabriel Hicks,38,8446 Nathan Union,Robertfurt,Washington,88740,-139.808161,68.6147775
Christopher Allen,25,38834 Thompson Plain Suite 834,Port Rebecca,Texas,20085,-22.287148,20.2191805
Thomas Russell,31,77745 Wallace Mountains,Michaelmouth,Indiana,45424,-105.186952,-50.6746005
Derrick Johnston PhD,52,85907 Sosa Land,East Bernardton,Mississippi,09177,-1.079009,-76.7387555
Jason Mullins,79,988 Nancy Points Apt. 733,Port Jeffrey,Utah,33769,-3.544565,-24.3272025
Karen Duncan,18,1642 May Haven Suite 395,Patricktown,Hawaii,05528,-126.241691,38.3849395
Debra Myers,61,02641 Wood Falls Suite 601,East William,Michigan,14980,17.771393,-7.2328595
Caleb Lopez,75,735 Smith Trail,West Robin,New Mexico,57203,-41.886962,-56.906993
Ronald Smith,51,185 Munoz Islands,West Jermainehaven,Massachusetts,49441,99.549692,23.309113
Ernest Hoover,26,80080 Joseph Keys,East Elizabethberg,Iowa,05609,-107.272439,74.8059995
Rebecca Johnson,71,550 Jeffrey Rapids Apt. 674,Karenfurt,Oregon,73279,-132.340247,-3.4340715
Jennifer Wilson,74,7662 Cindy Via Apt. 159,Torresburgh,Oklahoma,89401,-130.608422,87.786749
Meagan Gray,70,7152 Jeremy Vista,Thomasport,New Mexico,94543,74.265487,-5.8161625
Michael Wilson,49,8883 Janice Forest,Obrienland,Maine,03717,-29.976634,-37.789342
Linda King,36,588 Gallagher Spring,Rojasfort,Pennsylvania,10757,91.515868,-61.476939
Mario Norris,18,047 Dana Expressway,East Katiemouth,North Carolina,78448,-161.469624,79.8467265
Robert Clarke,34,76160 Joyce Corner,Richardburgh,Iowa,19828,-124.576140,-24.587597
Gavin Dillon,32,9005 Ricky Springs,Barrettmouth,Alabama,27832,40.435388,-10.6116065
Brian Hernandez,42,59250 Bruce Court Apt. 423,Lake David,Connecticut,07560,110.681169,61.1368845
Michael Johnson,74,8843 Horne Vista Suite 747,Port Pamelaville,Wisconsin,28436,-175.009118,-33.8115815
Amber Cruz,21,795 Hardin Freeway Apt. 210,West Jason,Oklahoma,75854,55.620102,38.9405225
Joanna Velazquez,74,3268 Jones Shoals,Holdenbury,Mississippi,48987,27.792913,17.961976
Jackie Clark,27,5099 James Mountain,West Shawnville,Connecticut,21774,-18.189553,3.596782
Robert Thompson,25,159 Christopher Plaza,East Michaelton,Delaware,51526,119.600023,-79.8995115
Olivia Young,30,80214 King Brook,Allenland,Nebraska,32113,-16.955773,-12.641421
Jorge Lewis,27,79211 William River,Wrightview,Oregon,04250,117.414715,39.430740
Matthew Daniels,55,51768 Jason Ranch,Penaland,Iowa,35410,-155.969084,-54.5742055
Sierra Arnold,53,9943 Barnes Fields,Kaylatown,New York,42728,-76.343888,31.5811185
Thomas Frazier,36,890 Tracy Alley,Ashleyberg,Georgia,70073,-29.736157,-52.868325
Brooke Nelson,62,6637 Ball Cliff,Lake Carmenbury,New Mexico,80845,-0.640246,-26.8323035
Kristina Russo,48,7307 Zamora Shore Suite 280,Ellisfort,Michigan,43663,-161.372627,-83.132387
Timothy Best MD,21,342 Courtney Springs,Richardchester,Maine,02338,139.609769,10.1420675
Alyssa Wise,43,621 Hudson Drives,South Shelly,Arkansas,98157,152.965590,-82.309866
Kelly Williams,26,833 Lowe Spur,Josefurt,Florida,67071,-120.747679,46.482599
Regina Chavez,79,1492 David Glens,Donaldburgh,Louisiana,37455,54.765257,17.7717405
Oscar Crane,34,171 Steven Forest Suite 367,Williamfurt,Maine,25638,-126.425587,-48.633622
Amy Sosa,22,7970 Reid Springs,Jeantown,Utah,57838,-11.636587,73.141471
Juan Nixon,58,59770 Jacob Mountains Suite 929,Patrickland,New Mexico,85979,113.189332,-70.5597205
Donna Haynes,52,39252 Nelson Extension,Knightstad,Illinois,34992,137.485590,11.8385175
Allison Gonzalez,44,146 Stewart Glen,Lake Jerryville,Maryland,10782,-52.916808,40.1004615
Mary Smith,58,78740 Roberto Crossroad,Jimenezland,Georgia,81104,-45.165298,-80.621445
Alan Mcdowell,45,46286 Tammie Overpass Suite 112,Lake Crystalmouth,New York,03453,-70.264344,88.5491205
Lisa Young,78,7374 Ruiz Prairie,Smithville,Ohio,71940,-55.778964,81.2205875
Andrew Pollard,50,311 Page Harbor,West Lindaport,Kansas,57568,-114.795634,60.706426
Mike Jackson,76,45267 Fernandez Ports,West Thomas,Massachusetts,22019,89.307427,76.489971
Jeffrey Taylor,34,82955 Nicole Avenue,Lake Andre,Missouri,99914,40.031501,-15.194901
Paul Martinez,76,27275 Matthews Station Suite 463,Allenfort,Wisconsin,01118,-40.071408,-48.7927575
Jessica Jordan,27,712 Wells Point Suite 215,East Kimberly,Arizona,48949,10.411343,-28.4030845
Tina Schmidt,52,96815 Jones Lodge Apt. 495,Williamsfort,Mississippi,36843,-83.360595,12.1363055
Danielle Hughes,45,6134 Jones Branch,Thompsonview,West Virginia,45092,158.406048,0.252056
Margaret Norton,28,4511 Ashley Valley Apt. 561,Williamsmouth,Montana,84075,-174.758205,-36.9427635
Edward Burton,19,25583 Joshua Curve Apt. 782,Meganfurt,Iowa,40116,-33.336876,57.3886875
Alexis Buckley,26,1432 Kristin Path,Teresaview,West Virginia,41064,86.287033,-37.5249025
Dorothy Waters,60,60134 Sean Rapid,Nguyenshire,Texas,82794,135.505380,-59.6181465
Nicholas James,47,22155 Kevin Walks Apt. 828,North Isabella,Pennsylvania,06250,-38.596126,31.9570805
Jordan Rodriguez,45,09451 Sarah Vista Suite 232,East Dylanhaven,New Mexico,12642,8.292799,-60.6712675
Mark Schneider,36,40346 Ferrell Mills Apt. 373,New Kevin,Mississippi,67609,156.456676,-45.1409595
Alan Carter,23,101 Wagner Hollow,Jasonborough,Rhode Island,61743,94.658614,-39.9235045
Danielle Jones,27,25248 Jones Port Suite 802,Port Linda,Florida,22734,54.416383,53.754094
David Jones DDS,75,612 Vazquez Harbors,Mcphersonville,Oklahoma,98351,-28.491252,-42.3610355
James Jones,31,2540 Vaughn Lake Suite 703,West Joseph,New Mexico,95382,-149.035068,-57.619586
Rebecca Nelson,76,700 Harrison Mountain,Nealshire,West Virginia,91808,-134.742576,-35.5816465
Dakota Green,79,89643 Green Grove,Maryberg,Georgia,55456,-173.372101,75.745524
Kristen Daniel,51,64950 Walker Ridge Suite 476,Bakermouth,Oregon,16703,-154.995709,-30.162829
Patrick Carlson,18,54932 Brandon Forges Apt. 518,South Raymond,Utah,37850,41.458649,37.6706125
Mrs. Alexa Martinez,27,96196 Shawn Ferry,West Jessicaside,Arizona,48998,14.581322,21.3797395
Dawn Nichols,56,323 Javier Creek Apt. 995,Robertfurt,New Jersey,31591,-107.139836,-26.5407085
Michael Gutierrez,62,80188 Amber Drives,Port Johnmouth,South Carolina,55426,9.486470,16.776961
Candice Matthews,23,5731 Reed Stream,East Katie,Colorado,83254,84.249174,53.5846905
John Martin,26,3838 Hicks Junction,South Andrealand,Pennsylvania,49286,48.849920,16.625375
Joseph Lopez,80,2813 Ryan Center Suite 569,West Joseph,Ohio,32686,91.467607,67.425675
Robert Conrad,55,007 Lowery Drive,North Linda,Tennessee,63620,-112.918103,83.833217
Hailey Cox,24,70246 Lopez Overpass,South Ricky,Indiana,42831,38.801375,-77.6521985
Ethan Nguyen,51,71054 Michael Groves Apt. 074,Rogersburgh,Connecticut,09178,-30.530008,-64.6759495
Gail Dodson,18,563 Wright Hollow,Moniquebury,South Dakota,80454,143.468865,15.0627905
Mrs. Elizabeth Russell,18,49135 Rita Field,Lake Richardside,Louisiana,84179,-15.543754,65.327097
Vincent Juarez,42,902 Jeffrey Garden,Smithview,Texas,14408,3.061946,28.8154335
Carolyn Love,66,914 Thomas Prairie Suite 025,New Christopher,Montana,79782,14.460884,-66.678885
Jasmine Saunders,78,374 Lisa Oval,Katherinechester,Washington,71621,166.525128,-52.7492275
Carlos Rogers,80,359 Miranda Harbor Apt. 364,New Christopherhaven,Louisiana,07175,154.737597,28.1603055
Peter Williams,67,4764 Brianna Drive Suite 930,West Heather,South Dakota,45491,-142.967442,66.5820375
Tamara Boyd,47,200 Cameron Overpass Apt. 488,Port Jasmineberg,Nebraska,68691,15.625718,4.650332
Steven Shelton,63,98613 Owens Mall Apt. 233,Campbellberg,North Carolina,48869,-63.230442,-73.997356
Matthew Ingram,21,54685 Owens Rest Suite 615,Port Chelsea,Montana,88443,37.282725,16.484935
Cynthia Garcia,22,373 Harold Point Apt. 882,Garzashire,Wyoming,93975,30.421804,61.342477
Austin Gilbert,77,53959 Walters Fords,East Natalie,Georgia,32612,120.208532,-22.7586725
Annette Wilcox,79,6611 King Shores,Weissville,Rhode Island,70210,36.746877,3.9573125
Marvin Snyder,31,729 Smith Gardens Apt. 297,East Amanda,Montana,67203,-80.079921,0.7143705
Amy Arnold,44,954 Stephanie Plain,Glennfort,California,58106,-175.784136,86.838598
Wayne Watson,58,3556 Kathleen Route,Bryanstad,Maryland,22011,97.460455,-28.5617235
Briana Graham,57,209 Robinson Mount,Vasquezhaven,New York,63677,39.672549,-42.328237
Mary Williams,19,54554 Wells Estates Apt. 618,Lake James,Washington,94224,-119.788937,28.4174495
Karl Clay,48,3874 Watson Fields,South Angela,Delaware,15351,-110.698028,-50.4791665
Arthur Good,22,61457 Howard Forks Suite 104,Gonzalezville,Kansas,98078,62.501251,49.3457115
Samantha Mercer,46,041 Edwin Throughway,New Cassandraton,Maine,59342,176.172624,-73.1126675
Alexis Lawson,46,030 Smith Lakes Suite 804,Lopezport,Illinois,87896,76.699257,39.7573015
Becky Martin,27,30042 Gibbs Crescent,Theresamouth,Louisiana,21284,124.596097,7.653255
Nicole Horton,34,165 Andrew Square Suite 777,Robinshire,Montana,08254,94.817037,44.502905
Michael Carpenter PhD,35,198 Nicholas Roads Apt. 564,Lake Amberhaven,Virginia,91324,105.768713,-49.935742
Scott Huerta,57,326 Kayla Spring Apt. 419,West Williamborough,Alaska,65152,-108.070577,-83.732505
Christian Scott,57,05787 Daugherty Crest Suite 334,East Lindaborough,California,17679,-53.342071,22.4254125
Jennifer Silva,66,13713 Daniel Gardens Apt. 555,Morrisshire,Utah,23488,-2.678936,-47.4115595
Terrance Welch MD,31,5025 Guzman Stravenue Apt. 109,Kentbury,Kansas,24626,-122.330976,1.2977245
Kyle Bray,41,107 Sarah Greens,Michaelberg,New Jersey,69125,160.087902,79.8716535
Jose Shepard,23,96452 Carol Shore Suite 105,Sharonview,Wyoming,17385,48.236183,-50.592986
Sherry Maddox,36,715 Wong Prairie Apt. 623,Davidview,New Hampshire,99368,32.119976,-84.0986505
Ryan Davis,68,85229 Lance Shore,Washingtontown,Ohio,56678,135.695256,59.1367525
Melissa Calderon,56,185 Green Orchard,Ashleymouth,Connecticut,01831,-122.097093,5.3222225
Christina Gomez,42,94853 Hughes Road Suite 949,West Melissa,Nevada,01543,140.022662,-3.994815
Nicholas Lee,30,6153 Mullins Curve Suite 552,East Stephanie,New Hampshire,94781,-57.698925,23.321799
Brian Jimenez,68,101 Christopher Mews,Ericmouth,Arizona,00806,4.187099,-29.977803
Jonathan Perez,48,67993 Ann Square Apt. 214,Lake Madison,North Dakota,49878,-115.054973,69.210583
Allen Eaton,75,778 Howard Summit,Jonathanburgh,Idaho,71624,153.539092,-62.827173
Christopher Vasquez,64,217 Olivia Cliffs Apt. 631,New Tamaraview,Ohio,53849,-90.685774,-51.500529
John Edwards,18,89915 Michael Lock,South Melissa,Illinois,19321,36.862458,-64.3901745
Angela Austin,58,7018 Hall Plaza Apt. 116,Robinchester,Oregon,54894,-127.923801,20.8779715
Dr. Mario Costa,73,02108 Nelson Ville Apt. 266,Dorseyview,Oregon,71381,-125.858494,84.2022665
John Harris,32,737 Garcia Drive Apt. 448,Philipmouth,Tennessee,77545,-167.316865,-24.235327
Christopher Mason,36,1355 Richardson Parkway,Johnsonchester,Texas,20261,166.765560,19.369645
Michelle Barker,80,04144 Brenda Burg,Mcclureshire,New York,44058,-156.295301,-43.237353
